"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043679","GO:0043679","axon terminus","3/16","118/17405",0.00015950087668126,0.00429577134824993,0.00305531390344945,"PTPRN2/NTRK2/TPBG",3
"GO:0044306","GO:0044306","neuron projection terminus","3/16","134/17405",0.000232203856662159,0.00429577134824993,0.00305531390344945,"PTPRN2/NTRK2/TPBG",3
"GO:0043195","GO:0043195","terminal bouton","2/16","56/17405",0.00118532157400573,0.014618966079404,0.010397557666717,"PTPRN2/NTRK2",2
"GO:0150034","GO:0150034","distal axon","3/16","296/17405",0.00231369888467869,0.0181262805066045,0.012892091398723,"PTPRN2/NTRK2/TPBG",3
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","3/16","302/17405",0.00244949736575737,0.0181262805066045,0.012892091398723,"PTPRN2/IGFBP5/COL5A2",3
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","3/16","398/17405",0.00532510934549606,0.0328381742972257,0.0233557427434038,"FGFBP3/MDK/COL5A2",3
