"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","2/2","398/17405",0.000521615486136086,0.00312969291681652,NA,"IGFBP7/DCN",2
"GO:0005581","GO:0005581","collagen trimer","1/2","86/17405",0.00985808570028279,0.0185581167517315,NA,"DCN",1
"GO:0005796","GO:0005796","Golgi lumen","1/2","103/17405",0.011800996591075,0.0185581167517315,NA,"DCN",1
"GO:0043202","GO:0043202","lysosomal lumen","1/2","108/17405",0.0123720778344877,0.0185581167517315,NA,"DCN",1
"GO:0005775","GO:0005775","vacuolar lumen","1/2","186/17405",0.0212595730138545,0.0255114876166254,NA,"DCN",1
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","1/2","302/17405",0.0344025824664228,0.0344025824664228,NA,"IGFBP7",1
