"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","6/9","398/17405",1.09160781788047e-08,2.40153719933704e-07,1.60868520529754e-07,"IGFBP7/LGALS1/PTN/FN1/COL4A1/MGP",6
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","5/9","302/17405",1.81116702356082e-07,1.9922837259169e-06,1.33454412262376e-06,"IGFBP7/LGALS1/IGFBP5/FN1/COL4A1",5
"GO:0005604","GO:0005604","basement membrane","3/9","92/17405",1.17326133482008e-05,8.60391645534723e-05,5.76338901315125e-05,"PTN/FN1/COL4A1",3
