"","CSS1_B1","CSS2_B1","Mix1_B1","Mix2_B1","WT1_B1","WT2_B1","CSS1_B2","CSS2_B2","Mix1_B2","Mix2_B2","WT1_B2","WT2_B2"
"0",14,16,24,29,0,0,1,3,5,15,0,0
"1",2,7,12,9,0,0,0,1,1,9,0,0
"2",38,35,47,45,0,0,0,18,5,40,0,0
"3",13,4,9,10,0,0,0,0,4,2,0,0
"4",4,2,2,8,0,0,0,0,1,3,0,0
"5",2,9,8,5,0,0,0,1,0,5,0,0
"6",1,2,1,7,0,0,0,0,0,1,0,0
"7",1,1,3,0,0,0,0,0,0,2,0,0
