"","B1_p_val","B1_avg_log2FC","B1_pct.1","B1_pct.2","B1_p_val_adj","B2_p_val","B2_avg_log2FC","B2_pct.1","B2_pct.2","B2_p_val_adj","max_pval","minimump_p_val","cluster"
"ZNF385D",0,0.538097156621171,0.45,0.189,0,0,0.40939322540635,0.425,0.188,0,0,0,0
"RPL15",0,0.393183895647618,1,1,0,0,0.486797370361423,1,1,0,0,0,0
"RARB",0,0.324549278293376,0.419,0.19,0,0,0.300767282432073,0.371,0.144,0,0,0,0
"CRTAP",0,0.448188510501715,0.689,0.395,0,0,0.537140952301181,0.706,0.349,0,0,0,0
"RPL14",0,0.436981379234388,1,0.999,0,0,0.485278053254568,1,1,0,0,0,0
"PTH1R",0,0.39941219483296,0.344,0.075,0,0,0.606657716823669,0.52,0.117,0,0,0,0
"RPL29",0,0.283561869309756,1,0.999,0,0,0.293829473410806,1,0.999,0,0,0,0
"FLNB",0,0.320004524849042,0.508,0.294,0,0,0.402098252887247,0.553,0.269,0,0,0,0
"ROBO1",0,0.493189262676184,0.776,0.489,0,0,0.66361050723633,0.842,0.485,0,0,0,0
"RPL24",0,0.289512954247084,1,1,0,0,0.336438136706647,1,1,0,0,0,0
"ALCAM",0,0.531713712028041,0.567,0.281,0,0,0.958783928019911,0.761,0.31,0,0,0,0
"FSTL1",0,0.798959861927073,0.86,0.566,0,0,0.977767252617262,0.913,0.52,0,0,0,0
"CHST2",0,0.410005615370991,0.451,0.163,0,0,0.311399373103627,0.368,0.144,0,0,0,0
"WWTR1",0,0.378868426026638,0.807,0.532,0,0,0.592206596326619,0.832,0.447,0,0,0,0
"HES1",0,0.81837371028847,0.882,0.559,0,0,0.746846616098455,0.792,0.46,0,0,0,0
"RPL35A",0,0.302267057425933,1,1,0,0,0.414949513872968,1,1,0,0,0,0
"HMX1",0,0.299095166915375,0.373,0.149,0,0,0.466013473101344,0.497,0.173,0,0,0,0
"KLF3-AS1",0,0.330967553817575,0.353,0.15,0,0,0.281148913022283,0.351,0.149,0,0,0,0
"LIMCH1",0,0.609729582328116,0.775,0.514,0,0,0.878193113257101,0.834,0.485,0,0,0,0
"PDGFRA",0,0.902362605537462,0.745,0.213,0,0,0.921111797427915,0.738,0.193,0,0,0,0
"REST",0,0.357064934124796,0.83,0.641,0,0,0.436349227852767,0.833,0.564,0,0,0,0
"RPL34",0,0.318824786706577,1,1,0,0,0.422241081106631,1,1,0,0,0,0
"OSTC",0,0.473580739261515,0.953,0.868,0,0,0.556023955048534,0.965,0.825,0,0,0,0
"SNHG8",0,0.367056463187088,0.829,0.663,0,0,0.508771146882383,0.835,0.591,0,0,0,0
"SEC24D",0,0.319642000946992,0.419,0.204,0,0,0.362096567366832,0.461,0.193,0,0,0,0
"SYNPO2",0,0.390435073045552,0.373,0.104,0,0,0.338740604437714,0.324,0.089,0,0,0,0
"PDE5A",0,0.656275779710252,0.482,0.206,0,2.26216812959456e-252,0.378779244503172,0.315,0.156,5.91081910581762e-248,2.26216812959456e-252,0,0
"PCDH18",0,0.59926784119736,0.84,0.513,0,0,0.711746302627972,0.868,0.454,0,0,0,0
"EDNRA",0,0.806586754773207,0.615,0.173,0,0,0.850793785697054,0.622,0.161,0,0,0,0
"MAB21L2",0,0.269146206751964,0.439,0.202,0,0,0.577347729235443,0.64,0.239,0,0,0,0
"RPS3A",0,0.29569785206793,1,1,0,0,0.361581066730502,1,1,0,0,0,0
"SEMA5A",0,0.625045204017974,0.629,0.267,0,0,0.529066436393956,0.583,0.235,0,0,0,0
"SNHG18",0,0.510713004179289,0.524,0.163,0,0,0.530401449787128,0.531,0.15,0,0,0,0
"SUB1",0,0.327793699598435,0.983,0.959,0,0,0.332979559936555,0.985,0.938,0,0,0,0
"DAB2",0,0.684179860969695,0.659,0.272,0,0,0.724968519521094,0.665,0.238,0,0,0,0
"RPL37",0,0.419923965762965,1,1,0,0,0.532122072867192,1,1,0,0,0,0
"BTF3",0,0.390773552790053,0.992,0.994,0,0,0.404648841036988,0.997,0.991,0,0,0,0
"IQGAP2",0,0.544181559823772,0.67,0.393,0,0,0.627581877250985,0.68,0.346,0,0,0,0
"RPS23",0,0.311702093667201,1,1,0,0,0.368693331789112,1,1,0,0,0,0
"VCAN",0,0.808371623462059,0.984,0.836,0,0,0.914560703098262,0.987,0.793,0,0,0,0
"NR2F1",0,0.49166875100501,0.974,0.909,0,0,0.640905259137677,0.958,0.847,0,0,0,0
"NREP",0,0.508724521870288,0.988,0.935,0,0,0.33583959884718,0.987,0.928,0,0,0,0
"FBN2",0,0.499608459586643,0.708,0.41,0,0,0.719450740713066,0.796,0.38,0,0,0,0
"TGFBI",0,1.59731220013838,0.85,0.23,0,0,1.52202753806553,0.849,0.214,0,0,0,0
"SMAD5",0,0.774697862013256,0.892,0.679,0,0,0.483067923631872,0.826,0.61,0,0,0,0
"NR3C1",0,0.475755953617981,0.468,0.195,0,0,0.406418922428108,0.429,0.16,0,0,0,0
"CARMN",0,0.828859703843302,0.577,0.16,0,0,0.653087810664834,0.467,0.109,0,0,0,0
"PDGFRB",0,0.800598599180031,0.662,0.189,0,0,0.717658110266828,0.587,0.152,0,0,0,0
"RPS14",0,0.305289364187983,1,1,0,0,0.373062744115199,1,1,0,0,0,0
"SYNPO",0,0.365072628626462,0.413,0.141,0,0,0.433773976434476,0.482,0.143,0,0,0,0
"ANXA6",0,0.572485881508277,0.794,0.43,0,0,0.627923800298275,0.799,0.385,0,0,0,0
"SGCD",0,0.262226069582344,0.272,0.084,0,0,0.283616159884685,0.281,0.074,0,0,0,0
"NPM1",0,0.38890996104525,0.998,0.998,0,0,0.401724159453443,0.999,0.997,0,0,0,0
"RACK1",0,0.275309198692399,1,0.999,0,0,0.29557589007854,1,0.999,0,0,0,0
"FOXC1",0,0.785312611923476,0.693,0.26,0,0,0.743908556436743,0.663,0.228,0,0,0,0
"MYLIP",0,0.545579569768668,0.566,0.209,0,0,0.40155951370576,0.462,0.178,0,0,0,0
"IER3",0,0.655868394844478,0.59,0.296,0,0,0.738555171229087,0.624,0.274,0,0,0,0
"RPS18",0,0.389446035668231,1,1,0,0,0.450818032357539,1,1,0,0,0,0
"RPL10A",0,0.359975128436674,1,0.999,0,0,0.38885890206853,1,0.998,0,0,0,0
"MDFI",0,0.605448804999146,0.846,0.503,0,0,0.64693756876033,0.853,0.456,0,0,0,0
"COL12A1",0,0.666441705432995,0.449,0.11,0,0,0.693793803107521,0.474,0.116,0,0,0,0
"CD164",0,0.392377765405197,0.779,0.552,0,0,0.463949829456769,0.798,0.504,0,0,0,0
"LAMA4",0,0.440670843419358,0.662,0.334,0,0,0.578745899485601,0.65,0.278,0,0,0,0
