"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","ensembl_gene_id","entrezgene_id","threshold_OE","genelabels"
"1",1.1285694052403e-39,1.10944796693339,0.35,0.138,2.94883899895237e-35,"DLK1","ENSG00000185559",8788,TRUE,"DLK1"
"2",3.68541075512856e-08,0.77497631291801,0.29,0.205,0.00096296097620754,"CRYAB","ENSG00000109846",1410,TRUE,"CRYAB"
"3",4.78279806067002e-40,0.737935051171653,0.983,0.95,1.24969730527247e-35,"CADM1","ENSG00000182985",23705,TRUE,"CADM1"
"4",3.39549908553749e-45,-0.704078541251494,0.647,0.805,8.8720995606009e-41,"L1TD1","ENSG00000240563",54596,TRUE,"L1TD1"
"5",1.61355240534291e-63,0.674126562441138,0.967,0.874,4.2160510799205e-59,"COL18A1","ENSG00000182871",80781,TRUE,"COL18A1"
"6",2.6896110413064e-35,-0.550576177390393,0.573,0.757,7.0276846898295e-31,"KANK4","ENSG00000132854",163782,TRUE,"KANK4"
"7",5.37903719868547e-13,-0.533754832794093,0.623,0.679,1.40548862964453e-08,"COL1A1","ENSG00000108821",1277,TRUE,"COL1A1"
"8",5.16686151099389e-05,0.46211714656635,0.992,0.989,1,"ITGB1","ENSG00000150093",3688,FALSE,""
"9",6.19125759536156e-35,0.455528246066322,0.999,0.998,1.61771369709202e-30,"VCAN","ENSG00000038427",1462,FALSE,""
"10",3.18533652841397e-34,-0.418348218555487,0.699,0.837,8.32296581509285e-30,"NRP2","ENSG00000118257",8828,FALSE,""
"11",4.23058952782796e-24,-0.414596606300532,0.752,0.884,1.10541073772617e-19,"ANXA2","ENSG00000182718",302,FALSE,""
"12",3.00542522105381e-10,-0.408810330225258,0.253,0.354,7.85287556009149e-06,"S100A6","ENSG00000197956",6277,FALSE,""
"13",2.53127287178863e-23,0.407242053207529,0.954,0.903,6.61396288669651e-19,"TTYH1","ENSG00000276887",57348,FALSE,""
"14",1.8004265157423e-40,0.400954897113568,0.362,0.146,4.70433444298305e-36,"CCDC144NL-AS1","ENSG00000233098",440416,FALSE,""
"15",2.24765068180156e-24,-0.391647554138472,0.836,0.926,5.8728864664793e-20,"S100A10","ENSG00000197747",6281,FALSE,""
"16",1.23075519162193e-13,-0.390897087089512,0.601,0.697,3.21584024018894e-09,"COL1A2","ENSG00000164692",1278,FALSE,""
"17",3.34006876623736e-13,0.386335815194619,0.956,0.947,8.7272656793016e-09,"PTN","ENSG00000105894",5764,FALSE,""
"18",1.47098652250429e-13,0.384094768407487,0.763,0.676,3.84354068465147e-09,"PMEPA1","ENSG00000124225",56937,FALSE,""
"19",1.96149372612462e-26,-0.376306199416186,0.805,0.871,5.12518695699103e-22,"SESN3","ENSG00000149212",143686,FALSE,""
"20",1.94500444228445e-31,-0.369654944957358,0.263,0.468,5.08210210724504e-27,"TGFBR3","ENSG00000069702",7049,FALSE,""
"21",4.1057197859389e-28,-0.364888236194547,0.79,0.858,1.07278352286798e-23,"ROCK2","ENSG00000134318",9475,FALSE,""
"22",8.14078736532136e-15,0.359973633039684,0.66,0.547,2.12710633068482e-10,"SERPINE2","ENSG00000135919",5270,FALSE,""
"23",0.000122314489818479,0.356822325479448,0.701,0.649,1,"SPP1","ENSG00000118785",6696,FALSE,""
"24",1.59877724843334e-33,0.353878749615157,0.609,0.383,4.17744507243147e-29,"NFIA","ENSG00000162599",4774,FALSE,""
"25",8.29946320901809e-18,-0.344715980151282,1,1,2.16856674188434e-13,"VIM","ENSG00000026025",7431,FALSE,""
"26",3.08515540585287e-21,-0.341761411994999,0.913,0.93,8.06120255995297e-17,"IFITM2","ENSG00000185201",10581,FALSE,""
"27",5.45796270322711e-87,-0.326031253537599,1,1,1.42611107472621e-82,"RPS29","ENSG00000213741",6235,FALSE,""
"28",1.50865043312217e-24,-0.323764975085946,0.975,0.996,3.94195271670491e-20,"S100B","ENSG00000160307",6285,FALSE,""
"29",6.78897659128819e-17,0.319631447134969,0.938,0.894,1.77389169353769e-12,"SCRG1","ENSG00000164106",11341,FALSE,""
"30",5.98487860311714e-26,-0.319547966755118,0.856,0.924,1.56378893020848e-21,"RBP1","ENSG00000114115",5947,FALSE,""
"31",8.97693200811309e-16,-0.316583503659337,0.954,0.957,2.34558256439987e-11,"IFITM3","ENSG00000142089",10410,FALSE,""
"32",2.91868812364911e-14,0.314746266074696,0.872,0.837,7.62624019828275e-10,"FAM210B","ENSG00000124098",116151,FALSE,""
"33",0.0009516802361106,0.300751607595818,0.27,0.221,1,"HIST1H1B",NA,NA,FALSE,""
"34",1.81543777788825e-28,0.300422106103677,0.509,0.308,4.7435573698442e-24,"LEF1","ENSG00000138795",51176,FALSE,""
"35",1.59358808364743e-17,-0.299638387796095,0.759,0.837,4.16388630376236e-13,"TIMP3","ENSG00000100234",7078,FALSE,""
"36",6.39605939233792e-20,0.299434303790921,0.978,0.968,1.67122635862398e-15,"SPTBN1","ENSG00000115306",6711,FALSE,""
"37",7.88977880716321e-18,0.297009087809956,0.711,0.586,2.06152030452368e-13,"ASAP2","ENSG00000151693",8853,FALSE,""
"38",1.80705026517386e-16,0.296700579240031,0.668,0.525,4.72164163787279e-12,"TCF4","ENSG00000196628",6925,FALSE,""
"39",2.41010203805125e-24,0.293500556585086,0.996,0.997,6.29735561522411e-20,"PPDPF","ENSG00000125534",79144,FALSE,""
