"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","ensembl_gene_id","entrezgene_id","threshold_OE","genelabels"
"369",2.87800374648931e-10,0.118829587315354,1,1,7.51993598920193e-06,"ACTB","ENSG00000075624",60,FALSE,""
"370",6.49005347777738e-07,-0.118501764905205,0.401,0.488,0.0169578607320845,"ATP6V0D1","ENSG00000159720",9114,FALSE,""
"371",0.000380798221249524,-0.118409111463213,0.929,0.936,1,"SEC62","ENSG00000008952",7095,FALSE,""
"372",5.40851272777813e-06,0.11787836173115,0.876,0.822,0.141319029064115,"POLR1D","ENSG00000186184",51082,FALSE,""
"373",0.0165758100221433,-0.117863294420176,0.844,0.852,1,"CALD1","ENSG00000122786",800,FALSE,""
"374",9.71957680078633e-08,0.117856463732373,0.536,0.424,0.00253962822227746,"WSCD1","ENSG00000179314",23302,FALSE,""
"375",4.71991640268995e-05,0.117694191394781,0.298,0.228,1,"DUSP16","ENSG00000280962",80824,FALSE,""
"376",0.000162500750070431,0.117682935069403,0.993,0.982,1,"H2AFX",NA,NA,FALSE,""
"377",5.84829428652752e-05,-0.117541218514431,0.648,0.695,1,"TUSC3","ENSG00000104723",7991,FALSE,""
"378",7.16953844166103e-07,0.117540971957288,0.413,0.319,0.0187332869942161,"TOX","ENSG00000198846",9760,FALSE,""
"379",0.000520643012518637,-0.117496725156708,0.179,0.238,1,"FOSB","ENSG00000125740",2354,FALSE,""
"380",1.91311109332256e-05,0.117197830148749,0.518,0.439,0.499876797574252,"DHCR7","ENSG00000172893",1717,FALSE,""
"381",4.70940292598572e-10,0.117168770535564,0.341,0.222,1.23051989053081e-05,"FGFR2","ENSG00000066468",2263,FALSE,""
"382",0.0030560710644676,-0.117141402062807,0.742,0.759,1,"TRA2A","ENSG00000164548",29896,FALSE,""
"383",2.99222871170064e-06,-0.116581126325037,0.137,0.211,0.0781839440080259,"GJA1","ENSG00000152661",2697,FALSE,""
"384",8.28920737385478e-11,0.116514095414594,0.232,0.126,2.16588699471452e-06,"GRM3","ENSG00000198822",2913,FALSE,""
"385",0.0104174427458147,-0.116340655649386,0.388,0.429,1,"SDC2","ENSG00000169439",6383,FALSE,""
"386",1.03333016686883e-05,-0.116268758222509,0.333,0.417,0.269998839301157,"MMRN1","ENSG00000138722",22915,FALSE,""
"387",1.36121274759355e-06,0.116217670449426,0.815,0.733,0.0355671278818717,"MPST","ENSG00000128309",4357,FALSE,""
"388",0.00150582885324316,-0.116132959419327,0.747,0.769,1,"SMARCA1","ENSG00000102038",6594,FALSE,""
"389",0.000647086206029626,-0.116033787659349,0.55,0.587,1,"TCEAL8","ENSG00000180964",90843,FALSE,""
"390",1.80487926951923e-06,-0.115909811769292,0.258,0.35,0.0471596904332681,"ZIC4","ENSG00000174963",84107,FALSE,""
"391",0.000272222499694524,-0.115725438207541,0.971,0.961,1,"CD63","ENSG00000135404",967,FALSE,""
"392",0.000154633443803144,-0.11567545620365,0.361,0.424,1,"TMX4","ENSG00000125827",56255,FALSE,""
"393",5.82321849404783e-05,-0.115479624229137,0.713,0.742,1,"C8orf33","ENSG00000182307",65265,FALSE,""
"394",0.00287997276072007,-0.11535739520588,0.746,0.756,1,"RPL22L1","ENSG00000163584",200916,FALSE,""
"395",0.00842449591991551,-0.115220645446519,0.729,0.761,1,"HIST1H2AH",NA,NA,FALSE,""
"396",0.00847406510501544,-0.115139864534519,0.713,0.718,1,"ANXA5","ENSG00000164111",308,FALSE,""
"397",2.38842118127753e-11,-0.114780354392477,0.033,0.109,6.24070570456005e-07,"DPYD","ENSG00000188641",1806,FALSE,""
"398",1.95334526696323e-08,-0.114697824894443,0.073,0.151,0.000510389584804823,"COLEC12","ENSG00000158270",81035,FALSE,""
"399",2.81788408721323e-07,-0.114681890076965,0.149,0.239,0.00736284933147945,"PTPRM","ENSG00000173482",5797,FALSE,""
"400",4.27073869238905e-05,0.114527325633211,0.648,0.582,1,"ADGRL2","ENSG00000117114",23266,FALSE,""
"401",0.000313691070986579,-0.114482695213634,0.491,0.535,1,"PSMG3","ENSG00000157778",84262,FALSE,""
"402",0.234056210786498,0.114310970536248,0.479,0.439,1,"DDIT4","ENSG00000168209",54541,FALSE,""
"403",0.0118434506251514,-0.114133574068153,0.657,0.672,1,"HIST1H2AJ",NA,NA,FALSE,""
"404",2.38127870965958e-05,0.114088955208512,0.959,0.885,0.622204314046951,"CD24","ENSG00000272398",100133941,FALSE,""
"405",0.00024866532125606,-0.114080490016461,0.599,0.65,1,"PDCD4","ENSG00000150593",27250,FALSE,""
"406",1.07039716465017e-09,-0.113998955116357,1,1,2.79684075151443e-05,"RPL37","ENSG00000145592",6167,FALSE,""
"407",0.000809902684390916,0.113845337570698,0.703,0.635,1,"EIF4EBP1","ENSG00000187840",1978,FALSE,""
"408",0.0202375870192333,-0.113818527532964,0.285,0.323,1,"ITGA6","ENSG00000091409",3655,FALSE,""
"409",0.000487864471434783,-0.113809711011093,0.619,0.647,1,"LAGE3","ENSG00000196976",8270,FALSE,""
"410",1.70720876315973e-05,0.113764705904158,0.4,0.328,0.446076577726006,"HECTD2","ENSG00000165338",143279,FALSE,""
"411",2.36263096213962e-05,-0.113586757618237,0.909,0.915,0.617331844097462,"RPN2","ENSG00000118705",6185,FALSE,""
"412",5.535856979973e-09,-0.113498539346805,0.083,0.17,0.000144646407029715,"BAMBI","ENSG00000095739",25805,FALSE,""
"413",2.24199396509922e-06,-0.113483278844359,0.061,0.121,0.0585810603140775,"WFDC2","ENSG00000101443",10406,FALSE,""
"414",1.65839082889334e-06,0.113362369894255,0.963,0.926,0.0433320939681541,"RTN3","ENSG00000133318",10313,FALSE,""
"415",2.64287701343819e-07,0.113263673819809,0.455,0.35,0.00690557334841265,"MYO10","ENSG00000145555",4651,FALSE,""
"416",1.30027503093447e-07,0.113082323639363,0.858,0.748,0.00339748862832868,"TUBB3","ENSG00000258947",10381,FALSE,""
"417",9.84304072827943e-10,0.112613416206423,0.402,0.279,2.57188811189213e-05,"ASMTL","ENSG00000169093",8623,FALSE,""
"418",3.20781889236452e-06,-0.112586114339323,0.328,0.438,0.0838170998385926,"PURPL","ENSG00000250337",643401,FALSE,""
"419",2.23191141934986e-05,0.112421955128778,0.924,0.865,0.583176134761926,"CCNB1IP1","ENSG00000100814",57820,FALSE,""
"420",8.41514581569144e-12,0.112410641989952,0.244,0.133,2.19879345018202e-07,"RHBDL3","ENSG00000141314",162494,FALSE,""
"421",2.61971945694903e-06,0.112281923062465,0.406,0.307,0.0684506496906211,"SOX9","ENSG00000125398",6662,FALSE,""
"422",6.0245949121516e-09,0.112211597802037,0.326,0.22,0.000157416640459609,"RGS20","ENSG00000147509",8601,FALSE,""
"423",0.000231403769759853,-0.112131207369969,0.816,0.828,1,"PBRM1","ENSG00000163939",55193,FALSE,""
"424",0.000418470879648718,0.111795151336564,0.407,0.334,1,"WNT7B","ENSG00000188064",7477,FALSE,""
"425",0.00164961910155612,-0.111781605603547,0.453,0.501,1,"RRBP1","ENSG00000125844",6238,FALSE,""
"426",1.4431556092763e-06,0.111702281168826,0.3,0.214,0.0377082129147805,"MIR9-3HG","ENSG00000255571",254559,FALSE,""
"427",1.45314688425076e-07,0.111388386541086,0.398,0.299,0.00379692749385881,"C5orf30",NA,NA,FALSE,""
