UniqueCount	AmbigCount
0	4
0	1
3	391
0	0
0	35
0	22
0	1
0	0
0	0
0	0
0	0
0	0
0	0
1	47
0	7
0	8
0	10
0	6
0	12
76	26
12	103
1	14
0	19
15	48
0	38
6	161
12	31
0	5
2	43
0	1
2	1
0	1
11	456
0	203
0	219
0	185
0	148
0	87
64	54
0	0
0	61
0	6
0	1
0	6
0	4
0	5
0	1
0	11
3	28
4	35
0	10
0	8
9	4
0	155
0	64
0	82
3	118
0	81
1	51
1	38
0	70
0	59
4	24
0	31
2	8
3	33
0	43
0	31
2	40
0	0
0	0
0	18
24	133
1	3
0	1
0	9
0	6
1	21
2	12
0	5
0	5
0	41
0	11
0	1
0	11
0	35
0	10
0	10
0	2
0	1
8	2603
649	4089
8	8492
0	21
15	8415
2	85
3287	10663
12	7141
0	0
0	0
0	19
117	856
0	14
0	0
5	1
0	28
0	30
0	30
0	23
0	25
0	29
2	29
0	26
0	27
0	20
0	26
0	30
0	31
0	23
0	31
0	33
12	18
0	0
0	0
0	0
0	0
2	0
0	6
0	6
0	6
0	6
0	6
0	2
0	9
2	6
0	13
2	13
0	8
3	7
0	7
1	1
2	16
0	26
632	1395
15	221
2	1595
25	38
15	1490
0	83
0	1488
5	258
5	501
0	60
1	127
0	45
0	106
2	626
0	881
0	27
0	141
1	601
2	44
0	524
0	44
0	31
1	164
0	39
3	41
27	7
5	14
4	16
1	10
0	0
0	6
1	8
0	0
11	2
49	0
2	0
88	23
0	17
0	4
0	134
0	134
0	0
0	134
0	0
0	0
0	0
0	0
1	0
0	134
0	0
0	0
0	0
0	0
0	0
196	3040
35	877
65	2930
0	0
11	477
198	21
20	146
6	145
2	15
2	48
7	5
0	2
0	1
0	2
0	0
0	0
0	4
0	0
1	4
6	0
0	6
0	6
0	6
0	5
1	52
0	33
17	50
1	0
4	0
0	739
1	776
0	777
0	740
0	0
2	16
2	8
0	0
4	10
96	496
0	18
6	108
2	107
0	83
0	0
0	39
1	49
0	0
0	0
0	466
0	434
0	462
0	473
79	347
0	461
29	443
0	51
2	304
1	148
0	87
0	92
0	40
1	37
0	23
1	11
0	6
5	8
1	2
1	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	62
0	62
0	62
0	62
3	17
0	16
0	37
0	16
86	0
0	1
0	1
1	1
0	0
0	0
1	0
0	106
0	111
1	107
0	41
0	41
0	32
0	26
7	3
0	18
0	17
0	1
0	6
0	10
0	7
0	9
0	1
0	6
0	1
4	1
0	0
0	0
5	3
0	184
0	121
3	178
0	178
0	9
0	177
0	3
5	40
65	348
2	332
1	145
0	85
0	0
0	8
0	11
0	1
12	43
0	37
195	94
3	61
0	1
0	0
17	111
4	32
2	23
0	52
12	74
1	765
0	1184
0	1182
0	905
2	538
2	346
2	1067
0	1185
0	901
35	793
40	668
2	858
0	1169
0	910
0	796
0	842
0	962
0	295
2	155
7	159
0	640
0	155
0	221
0	169
2	97
0	146
0	225
0	19
0	57
9	277
0	184
0	146
0	226
0	220
0	217
1	11
0	5
0	92
0	218
6	225
71	172
0	145
0	96
1	70
1	66
0	57
0	57
0	24
2	15
1	6
0	0
9	0
0	30
69	35
2	5
9	0
0	107
0	109
0	98
0	3
0	7
0	6
0	1
0	0
0	0
1	18
0	20
0	20
0	17
13	20
0	9
0	9
0	3
0	0
0	0
3	942
57	924
5	928
10	937
9	108
0	12
0	0
0	2253
6	2399
1	2037
46	1586
64	4001
0	2648
0	1805
8	2664
0	3054
1	872
1	1037
1	272
7	201
3	236
10	276
0	855
54	24
2	211
0	6
0	46
0	695
3	588
2	592
0	696
0	27
0	21
0	601
51	650
0	189
285	575
1	435
49	489
19	52
35	145
0	44
0	4
29	90
0	22
1	23
0	26
0	16
3	14
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	0
2	26
0	4
0	0
0	200
0	167
34	202
3	17
6	153
48	118
2	2
0	0
0	143
11	108
0	145
0	120
0	143
0	6
0	12
1	32
2	3
0	3
5	0
138	668
20	566
3	119
222	35
0	8
10	10
0	0
45	0
21	0
77	0
0	13
0	16
0	16
0	16
0	11
0	16
0	16
12	27
0	4
0	12
