"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","ensembl_gene_id","entrezgene_id","threshold_OE","genelabels"
"314",9.35919570533238e-19,-0.150115219433877,0.292,0.394,2.4454642458463e-14,"TLN1","ENSG00000137076",7094,FALSE,""
"315",6.43541530084893e-17,0.150041531649266,0.307,0.222,1.68150966395882e-12,"NRCAM","ENSG00000091129",4897,FALSE,""
"316",0.0990589144505373,0.149370629350313,0.237,0.227,1,"MKI67","ENSG00000148773",4288,FALSE,""
"317",1.47710911817986e-18,-0.148965235653663,0.198,0.292,3.85953841489215e-14,"GNG12","ENSG00000172380",55970,FALSE,""
"318",3.81896000953797e-14,0.148951282546093,0.325,0.249,9.97856060892175e-10,"MTUS1","ENSG00000129422",57509,FALSE,""
"319",1.65161148449089e-11,-0.148899927443739,0.808,0.867,4.31549564782626e-07,"MT-ND6","ENSG00000198695",4541,FALSE,""
"320",1.2575952394484e-07,0.148861883599031,0.714,0.712,0.00328597060115471,"ARHGAP21","ENSG00000107863",57584,FALSE,""
"321",1.22810616009868e-13,0.148774879776583,0.998,0.999,3.20891858572184e-09,"TUBA1A","ENSG00000167552",7846,FALSE,""
"322",8.35501696618696e-14,-0.148591446265275,0.473,0.568,2.18308238309499e-09,"PLTP","ENSG00000100979",5360,FALSE,""
"323",1.0309150234781e-10,-0.147167389832085,0.276,0.356,2.69367786484592e-06,"RBP1","ENSG00000114115",5947,FALSE,""
"324",1.79659544848375e-16,-0.147161466464493,0.273,0.366,4.6943242473432e-12,"LY6E","ENSG00000278032",4061,FALSE,""
"325",2.05681709904724e-09,0.146559240505286,0.697,0.668,5.37425739810054e-05,"PNRC1","ENSG00000146278",10957,FALSE,""
"326",4.19566457737535e-06,-0.146414989161776,0.184,0.228,0.109628519742241,"GFRA1","ENSG00000151892",2674,FALSE,""
"327",3.14993734907518e-12,0.146383522427252,0.841,0.827,8.23047129939855e-08,"SNHG16","ENSG00000163597",100507246,FALSE,""
"328",4.00727689859171e-18,-0.146304137321618,0.993,0.998,1.04706138083303e-13,"HSP90AA1","ENSG00000080824",3320,FALSE,""
"329",9.36189295875716e-14,0.146101890673338,0.276,0.203,2.44616901119366e-09,"PAX7","ENSG00000009709",5081,FALSE,""
"330",3.66498447130222e-13,0.146047123484171,0.903,0.888,9.57623792506557e-09,"SEPTIN11","ENSG00000138758",55752,FALSE,""
"331",1.15158287191993e-11,0.145902776054477,0.761,0.742,3.00897088603959e-07,"FEZ1","ENSG00000149557",105369550,FALSE,""
"332",2.17128363320504e-12,-0.145852317517615,0.133,0.198,5.67334700520144e-08,"GAP43","ENSG00000172020",2596,FALSE,""
"333",6.98798631648434e-10,0.145379501202238,0.459,0.404,1.82589094463419e-05,"ENPP2","ENSG00000136960",5168,FALSE,""
"334",2.10765534693595e-11,0.14536599993421,0.441,0.38,5.50709265600895e-07,"NHSL1","ENSG00000135540",57224,FALSE,""
"335",1.27498122209915e-18,-0.145238062258388,0.081,0.148,3.33139843522286e-14,"RGS10","ENSG00000148908",6001,FALSE,""
"336",1.84332284054337e-23,0.144871473502659,0.999,0.999,4.81641825005576e-19,"MARCKS","ENSG00000277443",4082,FALSE,""
"337",1.22814231855543e-37,0.144700218153195,0.187,0.078,3.20901306415349e-33,"ZNF667-AS1","ENSG00000166770",100128252,FALSE,""
"338",2.79135573701135e-14,0.144235215798972,0.627,0.551,7.29353340523696e-10,"DTX4","ENSG00000110042",23220,FALSE,""
"339",6.18937013624986e-15,0.144017234759749,0.305,0.227,1.61722052290073e-10,"MIR124-2HG","ENSG00000254377",NA,FALSE,""
"340",0.0809102740450468,0.143801047858176,0.161,0.148,1,"CDC20","ENSG00000117399",991,FALSE,""
"341",1.5109999225731e-15,0.143780126308663,0.226,0.149,3.94809169769124e-11,"ANGPT1","ENSG00000154188",284,FALSE,""
"342",6.84763178638467e-14,0.143680234350947,0.848,0.797,1.78921770946445e-09,"FADS1","ENSG00000149485",3992,FALSE,""
"343",5.45563139662528e-16,0.143646017118869,0.344,0.263,1.42550192762422e-11,"GNG2","ENSG00000186469",54331,FALSE,""
"344",3.24903254184209e-26,-0.143605592698838,0.979,0.987,8.48939712857921e-22,"ELOB","ENSG00000103363",6923,FALSE,""
