"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","ensembl_gene_id","entrezgene_id","threshold_OE","genelabels"
"1",6.35536768196427e-136,0.911085752020787,0.234,0.083,1.66059402162044e-131,"IGFBP7","ENSG00000163453",3490,TRUE,"IGFBP7"
"2",5.31605870682485e-92,0.684541538837631,0.696,0.571,1.38903297950627e-87,"LGALS1","ENSG00000100097",3956,TRUE,"LGALS1"
"3",6.4790059770939e-22,0.607355122476202,0.676,0.621,1.69289947175486e-17,"PTN","ENSG00000105894",5764,TRUE,"PTN"
"4",6.08236188884977e-143,0.552309012127971,0.833,0.72,1.58926033793756e-138,"CSRP2","ENSG00000175183",1466,TRUE,"CSRP2"
"5",3.71631006626023e-14,0.538682682343659,0.575,0.544,9.71034657213137e-10,"CCL2","ENSG00000108691",6347,TRUE,"CCL2"
"6",1.02173028436894e-43,0.533484198729927,0.494,0.386,2.66967906002759e-39,"IGFBP5","ENSG00000115461",3488,TRUE,"IGFBP5"
"7",3.15534099563254e-59,0.517139536894241,0.704,0.599,8.24459048748826e-55,"FN1","ENSG00000115414",2335,TRUE,"FN1"
"8",1.49474238690217e-17,-0.510367229056458,0.152,0.202,3.90561238273669e-13,"MGP","ENSG00000111341",4256,TRUE,"MGP"
"9",3.79189491614961e-78,0.508263985501929,0.707,0.592,9.90784222640731e-74,"COL4A1","ENSG00000187498",1282,TRUE,"COL4A1"
"10",2.51347354629306e-132,0.457123411083929,0.453,0.258,6.56745502910912e-128,"ARHGAP29","ENSG00000137962",9411,FALSE,""
"11",3.5562081684837e-64,0.447676021664229,0.908,0.901,9.29201632343105e-60,"DCN","ENSG00000011465",1634,FALSE,""
"12",3.50172816209118e-14,0.402506453067933,0.308,0.256,9.14966551472805e-10,"TAGLN","ENSG00000149591",6876,FALSE,""
"13",1.86378135126733e-106,0.391698043121629,0.871,0.791,4.86987429272641e-102,"COL4A2","ENSG00000134871",1284,FALSE,""
"14",9.30635030526947e-77,0.378151303054234,0.78,0.683,2.43165627126386e-72,"TPM2","ENSG00000198467",7169,FALSE,""
"15",3.00216140436452e-48,0.370734750287809,0.112,0.045,7.84434753346406e-44,"SPARCL1","ENSG00000152583",8404,FALSE,""
"16",4.20346489624359e-39,0.368275863436521,0.558,0.471,1.09832334273949e-34,"TNC","ENSG00000041982",3371,FALSE,""
"17",1.29250768280988e-67,0.359174732984244,0.488,0.369,3.37719332441394e-63,"NFKBIA","ENSG00000100906",4792,FALSE,""
"18",6.63185604071582e-30,0.357191720139371,0.278,0.198,1.73283766487864e-25,"CYP1B1","ENSG00000138061",1545,FALSE,""
"19",1.50756201468509e-29,0.35281378059636,0.596,0.524,3.93910878817068e-25,"COL1A1","ENSG00000108821",1277,FALSE,""
