"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","ensembl_gene_id","entrezgene_id","threshold_OE","genelabels"
"1",2.20063693280664e-69,-0.985441151611053,0.335,0.697,5.75004424173047e-65,"COL1A2","ENSG00000164692",1278,TRUE,"COL1A2"
"2",1.69699242761524e-29,-0.591163148230733,0.629,0.805,4.43407151411586e-25,"L1TD1","ENSG00000240563",54596,TRUE,"L1TD1"
"3",1.14924508304612e-66,0.576127321372205,0.45,0.146,3.0028624774912e-62,"CCDC144NL-AS1","ENSG00000233098",440416,TRUE,"CCDC144NL-AS1"
"4",0.520201396711167,0.558638268194563,0.206,0.205,1,"CRYAB","ENSG00000109846",1410,FALSE,""
"5",3.94710298174147e-13,0.552255572784269,0.958,0.947,1.03133853809923e-08,"PTN","ENSG00000105894",5764,TRUE,"PTN"
"6",4.68287442491003e-36,-0.490779712116383,0.855,0.93,1.22358825848474e-31,"IFITM2","ENSG00000185201",10581,FALSE,""
"7",7.28978507533621e-05,0.471338860836822,0.197,0.138,1,"DLK1","ENSG00000185559",8788,FALSE,""
"8",1.2617166769183e-30,-0.456011954382118,0.894,0.957,3.29673950511982e-26,"IFITM3","ENSG00000142089",10410,FALSE,""
"9",1.73486986177785e-31,-0.400505312910468,0.964,0.996,4.53304146183934e-27,"S100B","ENSG00000160307",6285,FALSE,""
"10",1.66913989608775e-06,-0.391484329287926,0.269,0.354,0.0436129563448768,"S100A6","ENSG00000197956",6277,FALSE,""
"11",0.000647014943086187,0.387703717680779,0.408,0.37,1,"FGFBP3","ENSG00000174721",143282,FALSE,""
"12",4.78247005488628e-17,-0.387388617716205,0.915,0.958,1.24961160064124e-12,"KCNQ1OT1","ENSG00000269821",10984,FALSE,""
"13",5.32240195310708e-07,-0.381678516094465,0.627,0.679,0.0139069040632735,"COL1A1","ENSG00000108821",1277,FALSE,""
"14",0.00167465874762048,0.380815269228426,0.645,0.649,1,"SPP1","ENSG00000118785",6696,FALSE,""
"15",1.33146322630951e-17,-0.378511728196957,0.615,0.757,3.47898026402411e-13,"KANK4","ENSG00000132854",163782,FALSE,""
"16",1.21410134971472e-15,0.361662545088659,0.973,0.95,3.1723254166696e-11,"CADM1","ENSG00000182985",23705,FALSE,""
"17",3.20252161496073e-07,0.359445738195634,0.709,0.666,0.0083678687277309,"NR4A1","ENSG00000123358",3164,FALSE,""
"18",2.3614470632459e-08,-0.358772427572324,0.346,0.457,0.000617022503155521,"OLFML2A","ENSG00000185585",169611,FALSE,""
"19",5.52689624837325e-24,-0.343970147427697,0.584,0.785,1.44412272073745e-19,"LINC01198","ENSG00000231817",NA,FALSE,""
"20",2.72212937110469e-09,-0.337373159378336,0.365,0.477,7.11265183375945e-05,"NPR3","ENSG00000113389",4883,FALSE,""
"21",4.01392764362169e-12,0.336070783100448,0.417,0.302,1.04879915400191e-07,"TXNIP","ENSG00000265972",10628,FALSE,""
"22",1.63321708233391e-18,-0.330879464076321,0.711,0.837,4.26743291443027e-14,"TIMP3","ENSG00000100234",7078,FALSE,""
"23",2.42657716276369e-89,0.310916048085246,0.222,0.001,6.34040346858526e-85,"CSAG1","ENSG00000198930",158511,FALSE,""
