"ENSG"	"external_gene_name"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"	"entrezgene_id"
"1"	"ENSG00000000003"	"TSPAN6"	3231.43840768502	-0.135864185068289	0.165719631999025	0.286542884724465	0.60783460868083	7105
"2"	"ENSG00000000419"	"DPM1"	1827.97537119284	0.0300414556445299	0.163003211114448	0.811736372649082	0.930440296114116	8813
"3"	"ENSG00000000457"	"SCYL3"	568.672034184322	0.0489671865586466	0.140255962095238	0.675306875920534	0.866186753199439	57147
"4"	"ENSG00000000460"	"C1orf112"	827.005106688392	-0.333634810378728	0.238180971604198	0.0241766138172561	0.162831060354759	55732
"5"	"ENSG00000000938"	"FGR"	11.0526471081062	0.28266203264514	0.494056331973688	0.0114348970409916	NA	2268
"6"	"ENSG00000000971"	"CFH"	4352.61234811779	0.128338420711518	0.229454503036508	0.331602497267826	0.649742499988453	3075
"7"	"ENSG00000001036"	"FUCA2"	254.495883432696	-0.0212457400180085	0.237455497589123	0.863824051937259	0.949286271722796	2519
"8"	"ENSG00000001084"	"GCLC"	302.502779788618	-0.126344215620189	0.171599074088905	0.327929930716661	0.646107586916151	2729
"9"	"ENSG00000001167"	"NFYA"	1771.8807322286	0.126475006954225	0.151717525917373	0.300850740956746	0.62003740046407	4800
"10"	"ENSG00000001460"	"STPG1"	492.835165083654	0.174890653974263	0.142474577714367	0.138612452253956	0.427821228860965	90529
"11"	"ENSG00000001497"	"LAS1L"	3757.78524850065	-0.0681593272374121	0.178972937254492	0.600876162460816	0.829611326192639	81887
"12"	"ENSG00000001561"	"ENPP4"	691.078550691266	0.274105150178118	0.144736762416368	0.0215161655899458	0.15308009880502	22875
"13"	"ENSG00000001617"	"SEMA3F"	67.8830816637208	0.0524682538276386	0.212344790932216	0.689232154294469	0.874159085430459	6405
"14"	"ENSG00000001626"	"CFTR"	10.5920111365683	-0.0800831454410297	0.266145447934653	0.477965892771545	NA	1080
"15"	"ENSG00000001629"	"ANKIB1"	648.719078843381	-0.166762688113059	0.176707157703062	0.202965472895451	0.518679067287864	54467
"16"	"ENSG00000001630"	"CYP51A1"	7653.84444139072	0.489769033295929	0.16087460427445	0.000128475070438825	0.00794235772533049	1595
"17"	"ENSG00000001631"	"KRIT1"	1303.01476724194	0.0573608394524699	0.17439582381979	0.657253660538351	0.859136519041335	889
"18"	"ENSG00000002016"	"RAD52"	499.070976450301	-0.00629138350122473	0.155858392910556	0.959421803905965	0.986205817288855	5893
"19"	"ENSG00000002330"	"BAD"	1012.56288447305	0.144447206081388	0.225734921254455	0.280551936003514	0.602888980038276	572
"20"	"ENSG00000002549"	"LAP3"	11933.1153731458	0.622968381156778	0.160097958817917	1.62592345674167e-06	0.000447291542949633	51056
"21"	"ENSG00000002726"	"AOC1"	11.0356548047973	-0.261736532790557	0.354667291064566	0.0312798260718209	NA	26
"22"	"ENSG00000002745"	"WNT16"	3.94386926758034	-0.0890273578268677	0.33449886008054	0.188713328972634	NA	51384
"23"	"ENSG00000002822"	"MAD1L1"	1100.59050056638	0.0361223345174406	0.229270492315914	0.776369172018246	0.916747826851646	8379
"24"	"ENSG00000002834"	"LASP1"	9745.48727532759	0.360075361210912	0.260352149758908	0.01788411837928	0.140035701123528	3927
"25"	"ENSG00000002919"	"SNX11"	1263.93934392855	0.026157708461103	0.132762642926301	0.816926948661597	0.932243542796358	29916
"26"	"ENSG00000002933"	"TMEM176A"	15.4276095441516	0.027931507267112	0.254862498147187	0.80845525886161	0.929740475453682	55365
"27"	"ENSG00000003056"	"M6PR"	7215.9731367041	0.160538433051879	0.131365899272863	0.152492825325714	0.450115624968925	4074
"28"	"ENSG00000003096"	"KLHL13"	177.082847816894	-0.387315443800966	0.364492394224811	0.00990027674276005	0.099827333116281	90293
"29"	"ENSG00000003147"	"ICA1"	2820.22893342785	0.286874812121947	0.206329257252855	0.0413591933061484	0.222514616920237	3382
"30"	"ENSG00000003400"	"CASP10"	1284.6199953198	0.442979299967812	0.24483731709175	0.00453616695081933	0.0633451537142334	843
"31"	"ENSG00000003402"	"CFLAR"	4998.10191345858	0.330578793429245	0.217936320305901	0.0223778713990573	0.156115446032477	8837
"32"	"ENSG00000003436"	"TFPI"	13939.945771723	0.597668286285437	0.186575956158528	2.80325047179254e-05	0.0028213690419151	7035
"33"	"ENSG00000003509"	"NDUFAF7"	1009.28166425856	-0.16928650476109	0.127722593220881	0.124131253426981	0.404044465837403	55471
"34"	"ENSG00000003756"	"RBM5"	7624.74209710454	0.00072073533346284	0.132204899909538	0.994896778642393	0.998101636678499	10181
"35"	"ENSG00000003989"	"SLC7A2"	80.5522558293617	-0.214294135960877	0.267313285244649	0.11011817715164	0.379132889863026	6542
"36"	"ENSG00000004059"	"ARF5"	3664.15174240825	0.336596918912015	0.215791012857222	0.0199165139281565	0.148297386165243	381
"37"	"ENSG00000004139"	"SARM1"	242.499740774956	0.161828123885947	0.203877292254602	0.231558986728122	0.550895450408531	23098
"38"	"ENSG00000004142"	"POLDIP2"	424.01687179818	0.0502225753886908	0.18595866867872	0.701872610998584	0.881671432926102	26073
"39"	"ENSG00000004399"	"PLXND1"	2857.97083695405	0.131740559209016	0.184591707495525	0.318769579497959	0.637539158995918	23129
"40"	"ENSG00000004455"	"AK2"	3965.91385650488	0.303556534979751	0.152416982544548	0.0135851361770355	0.120557127816208	204
"41"	"ENSG00000004468"	"CD38"	126.271317750433	0.126707447522749	0.31470739613613	0.168383780484776	0.472732513609477	952
"42"	"ENSG00000004478"	"FKBP4"	325.837094314145	0.0979516103284132	0.157065708675345	0.430608010968803	0.726108088153543	2288
"43"	"ENSG00000004487"	"KDM1A"	1012.48718370003	-0.140109995238805	0.174578668883021	0.281454583173027	0.603525040627453	23028
"44"	"ENSG00000004534"	"RBM6"	3001.55270526635	-0.132176313772375	0.145081024406496	0.267894075853358	0.590728876605498	10180
"45"	"ENSG00000004700"	"RECQL"	3280.1044461772	0.246480034089098	0.135929040396752	0.0315522065326099	0.190212096795931	5965
"46"	"ENSG00000004766"	"VPS50"	856.454156184757	0.193844670268821	0.153912803244818	0.116177599820548	0.390873922266196	55610
"47"	"ENSG00000004777"	"ARHGAP33"	56.8342974716068	-0.160866342601012	0.249474880435134	0.219575275923287	0.537492140648047	115703
"48"	"ENSG00000004779"	"NDUFAB1"	2484.79286605509	0.12363154698731	0.214169455064956	0.354985605823404	0.670169117703743	4706
"49"	"ENSG00000004799"	"PDK4"	4.04816530455146	-0.0875732281534136	0.30995151087674	0.280927124912353	NA	5166
"50"	"ENSG00000004809"	"SLC22A16"	2.82683175778317	0.0682603268648121	0.309804400366906	0.360370306527845	NA	85413
"51"	"ENSG00000004838"	"ZMYND10"	13.3269679949517	-0.136536862658038	0.298791612191445	0.189800984570964	0.500347188841445	51364
"52"	"ENSG00000004846"	"ABCB5"	5.88223417890134	-0.23694632372236	0.494462458061442	0.0146046169317743	NA	340273
"53"	"ENSG00000004864"	"SLC25A13"	3371.8120344277	0.258498339563695	0.179080554821188	0.0520858061862422	0.253532384815722	10165
"54"	"ENSG00000004866"	"ST7"	864.536666125701	0.075915749365059	0.135626651317241	0.507472303103987	0.777362825246478	93655
"55"	"ENSG00000004897"	"CDC27"	2945.51704722893	0.113793081381681	0.156931918318694	0.359900040878924	0.672993097852897	996
"56"	"ENSG00000004961"	"HCCS"	1288.0231110606	0.208946769050929	0.191910557122965	0.122376132796772	0.400905427391909	3052
"57"	"ENSG00000004975"	"DVL2"	971.182958460565	-0.0788995758333291	0.181061816531154	0.546269157709521	0.801298282725989	1856
"58"	"ENSG00000005007"	"UPF1"	188.362930564095	-0.020379416041076	0.159019136612297	0.870281612655321	0.952198614509395	5976
"59"	"ENSG00000005020"	"SKAP2"	2240.12802598395	0.324058219786524	0.215959353867452	0.0244869629205725	0.163819598215062	8935
"60"	"ENSG00000005022"	"SLC25A5"	6449.7840001976	0.314614361808512	0.157712163963962	0.012151195836249	0.112741786662802	292
"61"	"ENSG00000005059"	"MCUB"	278.146373800717	0.0686207395053959	0.162016515409383	0.585765450710432	0.82306854198595	55013
"62"	"ENSG00000005075"	"POLR2J"	2143.57462620064	-0.0116944257845378	0.149597378434852	0.923112523021583	0.973416936369658	5439
"63"	"ENSG00000005100"	"DHX33"	319.028989098503	-0.262917235871465	0.155110296920899	0.0341784057809554	0.19927543829758	56919
"64"	"ENSG00000005102"	"MEOX1"	11.4407277984816	-0.192079737694507	0.409420970246551	0.0334467251081794	NA	4222
"65"	"ENSG00000005108"	"THSD7A"	513.167738578335	-0.00642285995956124	0.200728973949322	0.961067015565783	0.986428954517018	221981
"66"	"ENSG00000005156"	"LIG3"	2101.73959404529	-0.157717151813306	0.205710036706536	0.243425644508591	0.566604498758887	3980
"67"	"ENSG00000005175"	"RPAP3"	1456.50538356935	-0.151224585464685	0.167474133501901	0.238032779894204	0.558892033358109	79657
"68"	"ENSG00000005187"	"ACSM3"	62.386495037879	0.316110488849694	0.287359315940002	0.0309207561434104	0.188332747285927	6296
"69"	"ENSG00000005189"	"REXO5"	170.281852628454	-0.236518055034584	0.215759612488297	0.0904097178625461	0.3424384292859	81691
"70"	"ENSG00000005194"	"CIAPIN1"	4742.08809661284	0.202544822806261	0.162012742674501	0.10983269547096	0.378821891716293	57019
"71"	"ENSG00000005206"	"SPPL2B"	553.689053888165	-0.0944847265751634	0.248561888035722	0.44520092909139	0.734817324793589	56928
"72"	"ENSG00000005238"	"FAM214B"	1681.49355078363	0.274985098558914	0.189363942055683	0.0437237255454203	0.22896694601926	80256
"73"	"ENSG00000005249"	"PRKAR2B"	270.152830674526	0.0228116153864673	0.214558173634836	0.861078597247922	0.94809974826057	5577
"74"	"ENSG00000005302"	"MSL3"	1502.3493561031	0.0430761808252323	0.118845237088353	0.680827465147351	0.869524770947243	10943
"75"	"ENSG00000005339"	"CREBBP"	1057.32465890063	-0.0826101284338861	0.151448105191103	0.498407070849742	0.770074614943914	1387
