"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005583","GO:0005583","fibrillar collagen trimer","1/2","18/17405",0.00206736097874061,0.00620047853432437,NA,"COL1A2",1
"GO:0098643","GO:0098643","banded collagen fibril","1/2","18/17405",0.00206736097874061,0.00620047853432437,NA,"COL1A2",1
"GO:0098644","GO:0098644","complex of collagen trimers","1/2","27/17405",0.00310023926716219,0.00620047853432437,NA,"COL1A2",1
"GO:0005581","GO:0005581","collagen trimer","1/2","86/17405",0.00985808570028279,0.0147871285504242,NA,"COL1A2",1
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","1/2","302/17405",0.0344025824664228,0.0412830989597074,NA,"COL1A2",1
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","1/2","398/17405",0.0452123690010801,0.0452123690010801,NA,"COL1A2",1
