"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005883","GO:0005883","neurofilament","1/1","12/17405",0.000689457052570952,0.00275782821028381,NA,"NEFM",1
"GO:0005882","GO:0005882","intermediate filament","1/1","90/17405",0.00517092789428331,0.00704778320405985,NA,"NEFM",1
"GO:0016234","GO:0016234","inclusion body","1/1","92/17405",0.00528583740304489,0.00704778320405985,NA,"NEFM",1
"GO:0045111","GO:0045111","intermediate filament cytoskeleton","1/1","130/17405",0.00746911806952011,0.00746911806952011,NA,"NEFM",1
