UniqueCount	AmbigCount
0	24
0	3
4	580
0	0
0	81
0	58
0	2
0	2
0	0
0	0
0	0
0	0
0	0
3	57
0	15
6	14
0	12
0	5
0	25
154	53
6	123
3	10
0	15
56	47
0	32
0	226
39	41
0	6
20	63
1	2
2	15
0	4
9	658
0	338
1	387
0	334
0	265
0	134
58	89
0	2
0	96
0	0
0	0
0	0
0	0
0	0
0	5
0	14
8	41
11	29
0	12
0	9
23	7
0	174
0	88
0	89
2	115
0	71
1	67
2	48
0	70
0	78
9	23
0	22
1	11
2	42
0	54
0	45
0	58
0	2
0	0
0	39
23	153
0	4
0	0
0	17
0	7
0	60
2	9
0	11
0	1
0	49
0	12
0	1
0	13
0	29
0	13
0	10
0	0
0	0
13	5245
1010	5309
17	19460
0	49
26	12655
2	149
4470	13745
11	7416
0	5
0	0
2	47
121	1065
0	29
0	0
9	15
0	51
0	43
0	44
0	39
0	40
0	52
2	50
0	41
0	41
0	45
0	40
0	44
0	44
0	39
0	47
0	54
33	25
0	3
6	3
0	9
0	0
3	0
0	10
0	8
0	13
0	6
0	6
0	3
0	12
3	34
0	29
15	32
0	16
6	11
0	6
0	5
8	41
0	41
880	1945
31	355
3	2175
52	42
7	2031
3	105
0	1984
9	305
0	626
1	70
0	150
0	70
0	157
3	849
1	1124
0	33
0	210
2	814
0	76
0	708
1	76
0	51
0	264
0	73
4	89
54	25
38	75
24	80
1	20
0	6
0	9
4	3
0	0
3	0
53	2
1	2
177	56
0	50
0	9
0	174
0	174
0	2
0	172
0	10
0	11
0	11
0	10
0	9
0	170
1	9
0	0
0	2
0	0
0	0
174	2637
49	807
65	2550
0	1
9	407
390	44
53	306
8	306
4	17
3	61
29	11
1	2
0	1
0	1
0	0
0	1
0	1
0	1
0	1
12	0
0	6
0	6
0	6
0	5
0	46
0	34
6	44
0	9
4	0
0	1521
1	1615
0	1616
0	1522
0	4
1	22
4	10
1	2
0	16
537	1028
0	46
3	57
2	52
0	47
0	0
0	17
0	32
0	0
1	0
4	605
0	526
0	588
0	612
109	474
0	596
19	592
0	88
3	415
1	179
0	123
0	126
0	56
1	45
0	50
0	30
0	12
5	19
0	10
7	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	111
0	109
0	110
0	111
4	19
0	19
0	53
0	20
135	0
0	1
0	1
0	1
0	0
1	0
5	1
0	515
0	530
0	521
0	246
0	241
0	196
0	202
16	32
0	162
0	133
0	29
0	58
0	77
0	55
5	45
3	6
0	29
1	18
15	18
0	2
1	4
14	6
1	246
1	172
1	240
0	239
0	7
0	233
0	0
16	75
56	678
10	684
2	394
0	209
2	3
0	22
0	36
0	3
14	57
5	41
246	95
3	82
1	7
0	0
76	287
4	70
5	46
0	125
18	190
3	812
0	1297
0	1290
0	978
0	576
3	391
0	1133
0	1296
0	980
55	900
35	743
3	944
0	1281
0	998
0	814
0	884
0	1046
0	284
3	174
6	167
0	688
0	158
0	240
0	200
3	106
1	199
1	268
0	24
0	76
4	327
0	197
0	191
0	264
0	251
0	252
0	17
0	16
0	111
1	236
1	239
55	198
0	151
0	105
0	95
4	83
0	75
0	66
0	34
0	22
1	13
0	0
8	0
2	160
273	189
2	42
41	0
0	240
1	254
0	208
2	25
0	20
0	21
0	6
0	1
0	0
0	10
1	14
0	14
0	11
5	14
0	4
0	4
0	4
0	0
0	0
28	1835
74	1740
5	1762
39	1813
42	315
2	74
1	0
0	6058
23	6655
13	5414
122	4112
212	12994
0	7623
0	4676
45	7689
0	9258
8	2134
1	3021
0	709
8	552
5	702
62	1084
1	3277
62	189
0	893
3	79
0	237
0	774
1	664
